accession,prop_value
NCT01241448:I.1007,"Body mass index"
NCT01241448:I.1008,"In the opinion of the investigator, are capable and willing to:"
NCT01241448:I.1009,"Perform self-monitoring of blood glucose"
NCT01241448:I.1010,"Complete a study diary as required for this protocol"
NCT01241448:I.1011,"Maintain consistent dietary, physical activity, and sleeping patterns throughout the duration of the study"
NCT01241448:I.1012,"Comply with treatment regimens"
NCT01241448:I.1013,"Have given written informed consent to participate in this study in accordance with local regulations and the Ethical Review Board (ERB) governing the study site."
NCT01241448:I.2001,"Have>1 episode of severe hypoglycemia (defined as an event during which the patient requires the assistance of another person to actively administer carbohydrate, glucagon, or other resuscitative actions) within 6 months prior to screening, or have a current diagnosis of hypoglycemia unawareness."
NCT01241448:I.2002,"Have had two or more emergency room visits or hospitalizations due to poor glucose control in the 6 months prior to screening."
NCT01241448:I.2003,"Have gastrointestinal disease that may significantly impact gastric emptying or motility or have undergone gastric bypass or gastric banding surgery."
NCT01241448:I.2004,"Have had a previous diagnosis of pancreatitis."
NCT01241448:I.2005,"Have New York Heart Association (NYHA) class II, III, or IV symptoms of heart failure"
NCT01241448:I.2006,"Have a history of myocardial infarction, unstable angina, or a coronary revascularization procedure within 6 months of screening."
NCT01241448:I.2007,"Have a history of supraventricular tachycardia, ventricular tachycardia, or other cardiac arrhythmia."
NCT01241448:I.2008,"Have a history of transient ischemic attack (TIA) or stroke within 6 months of screening."
NCT01241448:I.2009,"Have poorly controlled hypertension (systolic blood pressure>= 150 mm Hg or diastolic blood pressure>= 90 mm Hg) as determined by the mean of three separate measurements."
NCT01241448:I.2010,"Show evidence of labile blood pressure, including symptomatic postural hypotension."
NCT01241448:I.2011,"Have any abnormality of the ECG that would impact patient safety or data interpretation."
NCT01241448:I.2012,"Show clinical signs or symptoms of liver disease, or liver function tests (LFTs, aspartate aminotransferase [AST] or alanine aminotransferase [ALT])>2.5 times upper limit of normal (ULN) as determined by the central laboratory at screening."
NCT01241448:I.2013,"Have a current or previous diagnosis of Gilbert's disease."
NCT01241448:I.2014,"Have previous or current diagnosis of Hepatitis B or C"
NCT01241448:I.2015,"Have a serum creatinine>2 mg/dL or, in patients being treated with metformin, a serum creatinine above (or creatinine clearance below) what is approved in the metformin product labeling in the respective country."
NCT01241448:I.2016,"Show evidence of uncorrected hypothyroidism or hyperthyroidism based on clinical evaluation and/or an abnormal thyroid stimulating hormone result as determined by the central laboratory at screening. Patients receiving dose-stable thyroid replacement therapy for at least 3 months prior to screening will be allowed to participate in the study."
NCT01241448:I.2017,"Have any other abnormal laboratory value that, in the opinion of the investigator, precludes the patient from participation in the study. Laboratory abnormalities consistent with type 2 diabetes mellitus and all other eligibility criteria are acceptable: for example, abnormalities of blood glucose, hemoglobin A1C (HbA1c), urinary glucose, and urinary protein (with a range of trace to 1+ on dipstick)."
NCT01241448:I.2018,"Have a currently suspected or treated malignancy, or are in remission from a clinically significant malignancy (other than basal or squamous cell skin cancer, in situ carcinomas of the cervix, or in situ prostate cancer) for less than 5 years."
NCT01241448:I.2019,"Have a personal or family history of pancreatic neoplasia."
NCT01241448:I.2020,"Have non-fasting triglycerides>600 mg/dL."
NCT01241448:I.2021,"Use or have used insulin or GLP-1 agonists (for more than 1 week within the 3-month period prior to screening), or any oral antihyperglycemic medication (OAM) other than metformin within the 3-month period prior to screening."
NCT01241448:I.2022,"Currently use or intend to use prescription or over-the-counter medications, including herbal supplements, to promote weight loss or to regulate blood glucose."
NCT01241448:I.2023,"Have current chronic (>2 weeks) systemic glucocorticoid therapy (excluding ocular topical, other topical, inhaled preparations)or have received such therapy within 8 weeks prior to screening."
NCT01241448:I.2024,"Currently use hyperglycemia-causing agents, hypoglycemia-causing agents (other than metformin), class II and III antiarrythmic agents, agents that reduce gastrointestinal motility,central nervous system stimulants (with the exception of caffeinated beverages), fibrates, and niacin>= 1 gm/day."
NCT01241448:I.2025,"Have an average weekly alcohol intake that exceeds 2 units per day for males and 1 unit per day for females (1 unit = 12 oz or 360 mL of beer, 5 oz or 150 mL of wine, 1.5 oz or 45 mL of distilled spirits)."
NCT01241448:I.2026,"Currently use drugs that are known to prolong the QT interval."
NCT01241448:I.2027,"Currently use or intend to use potent inhibitors of CYP3A, which include but are not limited to atazanavir, indinavir, nelfinavir, ritonavir, clarithromycin, itraconazole, ketoconazole, nefazodone, saquinavir, and telithromycin."
NCT01241448:I.2028,"Have previously completed or withdrawn from this study or any other study investigating LY2409021."
NCT01241448:I.2029,"Have known allergies to LY2409021 or related compounds."
NCT01241448:I.2030,"Are currently enrolled in, or discontinued within the last 30 days from, a clinical trial involving an investigational product or unapproved use of a drug or device, or concurrently enrolled in any other type of medical research judged not to be scientifically or medically compatible with this study"
NCT01241448:I.2031,"Have any other condition such as alcohol abuse, drug abuse, or psychiatric disorder that may affect the ability to participate in the trial."
NCT01243177:I.1001,"age at least 16 Years"
NCT01243177:I.1002,"Subject able to comply with study requirements"
NCT01243177:I.1003,"Subject is 16 years and older (female, male). Minors will be included in countries only if legally permitted"
NCT01243177:I.1004,"Subject has newly or recently diagnosed epilepsy experiencing partial onset seizures (POS) or generalized tonic-clonic seizures with at least 2 unprovoked seizures separated by 48 hours in the year before enrollment with 1 seizures 3 months before enrollment"
NCT01243177:I.1005,"Subject has normal electroencephalogram (EEG) which must be normal or consistent with partial onset seizures (POS) and a Computerized Axial Tomography (CT) scan or Magnetic Resonance Imaging (MRI) with diagnosis of POS or generalized tonic clonic seizures (without clear focal origin) within year before enrollment"
NCT01243177:I.2001,"Subject has a history or presence of seizures of other types than partial-onset (IA, IB, IC with clear focal origin) and generalized tonic-clonic (without clear focal origin) seizures (eg, myoclonic, absence)"
NCT01243177:I.2002,"Subject has a history or presence of seizures occurring only in clustered patterns, defined as repeated seizures occurring over a short period of time (ie,<20 minutes) with or without function regained between 2 ictal events"
NCT01243177:I.2003,"Subject has a history, clinical, or Electroencephalogram (EEG) finding suggestive of idiopathic generalized epilepsy (IGE) at randomization"
NCT01243177:I.2004,"Subject has current or previous diagnosis of pseudoseizures, conversion disorders, or other nonepileptic ictal events which could be confused with seizures"
NCT01243177:I.2005,"Subject has any medical or psychiatric condition"
NCT01243177:I.2006,"Subject has a history of suicide attempt, has received professional counselling for suicidal ideation, or is currently experiencing active suicidal ideation"
NCT01243177:I.2007,"Prior use of felbamate or vigabatrin is not allowed"
NCT01243177:I.2008,"Subject has received treatment with phenobarbital or primidone within 28 days prior to Visit 1"
NCT01243177:I.2009,"Subject is taking benzodiazepines for a nonepilepsy indication"
NCT01243177:I.2010,"Benzodiazepines as rescue therapy for epilepsy may have been used as needed in this time period, but not more frequently than once per week)"
NCT01243177:I.2011,"Subject has been treated for epilepsy with any antiepileptic drug (AED) (including benzodiazepines) in the last 6 months before Visit 1 (however, acute and subacute seizure treatment is accepted with a maximum of 2 weeks duration and if treatment was stopped at least 1 week before Visit 1"
NCT01243177:I.2012,"Subject has a medical condition that could reasonably be expected to interfere with drug absorption, distribution, metabolism, or excretion, has a history of alcohol or drug abuse within the previous 2 years"
NCT01243177:I.2013,"Asian ancestry and tests positive for HLA-B*1502 allele"
NCT01243424:I.1001,"age 40 Years to 85 Years"
NCT01243424:I.1002,"Type 2 diabetes"
NCT01243424:I.1003,"Elevated glycosylated heamoglobin (HbA1c): 6.5 - 8.5%, inclusive, if treatment naïve or mono-/dual therapy with metformin and/or an alpha-glucosidase inhibitor; 6.5 - 7.5%, inclusive, if treatment with sulphonylurea/glinide in mono- or dual (with metformin OR an alpha-glucosidase inhibitor) therapy)"
NCT01243424:I.1004,"Pre-existing cardiovascular disease OR specified diabetes end-organ damage OR age =>70 years OR two or more specified cardiovascular risk factor"
NCT01243424:I.2001,"Diabetes Mellitus, Insulin-Dependent"
NCT01243424:I.2002,"Treatment with other antidiabetic drugs (e.g. rosiglitazone, pioglitazone, Glucagon-like peptide 1 (GLP-1) analogue/agonists, Dipeptidyl-peptidase IV (DPP-IV) inhibitors or any insulin) prior to informed consent (previous short term use of insulin (up to two weeks) is allowed if taken at least 8 weeks prior informed consent)"
NCT01243424:I.2003,"Inappropriateness of glimepiride treatment for renal safety issues according to local prescribing information"
NCT01246752:I.1001,"age 18 Years to 60 Years"
NCT01246752:I.1002,"AML in first remission"
NCT01246752:I.1003,"cytological standard risk, i.e. karyotype not listed under exclusion criteria"
NCT01246752:I.1004,"Identification of HLA-identical sibling or HLA-compatible related or unrelated donor (9/10 HLA-alleles matched, high resolution typing for HLA-A, B, Cw, DRB1 and DQB1)"
NCT01246752:I.1005,"medically fit for allogeneic stem cell transplantation"
